sym,first,last,dead_days,bars_last,bars_med,vol_last5_ratio,oi_last_ratio,oi_last,cohort
PP,2014-03-06,2026-07-29,0,346,346.0,2.158910553735904,1.498767138398448,461959.0,2014
PX,2023-09-21,2024-04-22,828,346,346.0,1.3478877561457943,0.9704775413711584,76971.0,2023
RB,2010-01-04,2026-07-29,0,346,346.0,0.46064044994469316,1.5969736157142083,2033904.0,2010
RI,2010-01-04,2026-01-16,194,226,226.0,0.0,0.0,0.0,2010
RM,2013-01-08,2026-07-29,0,346,346.0,1.785437255077871,1.3081055183138508,483258.0,2013
RR,2019-08-22,2026-07-29,0,346,346.0,0.5841870824053452,3.1304421052631577,37174.0,2019
RS,2013-01-08,2026-01-16,194,226,226.0,2.84,0.16666666666666666,2.0,2013
RU,2010-01-04,2026-07-29,0,346,346.0,0.8931342863673929,0.7351312141118727,108437.0,2010
SA,2019-12-12,2026-07-29,0,346,346.0,1.0028222904585746,2.366178029575417,1472010.0,2019
SC,2018-03-30,2026-07-29,0,556,556.0,1.48054930586804,1.309008826898457,38854.0,2018
SF,2014-08-14,2026-07-29,0,226,226.0,3.124297809434216,3.159296995665388,253641.0,2014
SH,2023-09-21,2024-04-22,828,346,346.0,0.6274814403186834,0.5243565281725789,26932.0,2023
SI,2022-12-28,2024-04-22,828,226,226.0,3.6704290468504013,2.125991991789416,147074.0,2022
SM,2014-08-14,2026-07-29,0,226,226.0,2.373669765937242,5.3811333170591915,507005.0,2014
SN,2015-04-02,2026-07-29,0,466,466.0,3.7511451165656773,2.021059349074665,47505.0,2015
SP,2018-12-03,2026-07-29,0,346,346.0,1.2814758752022515,1.393702054610804,207840.0,2018
SR,2010-01-04,2026-07-29,0,346,346.0,1.019940775593742,1.8153350386425495,598260.0,2010
SS,2019-10-08,2026-07-29,0,466,466.0,1.4758623289478643,1.2035064265920263,86425.0,2019
T,2015-03-26,2026-07-29,0,256,256.0,1.7609200793441404,4.0814809424382705,364564.0,2015
TA,2010-01-04,2026-07-29,0,346,346.0,1.3027454919854042,1.298456493367533,861596.0,2010
TF,2013-09-12,2026-07-29,0,256,271.0,3.8567994075086878,5.155046155752432,208019.0,2013
TL,2023-04-27,2024-04-22,828,256,256.0,1.8405773155797454,1.99150606479843,61898.0,2023
TS,2018-08-23,2026-07-29,0,256,256.0,1.7838720622497681,2.0705891030684502,84215.0,2018
UR,2019-08-15,2026-07-29,0,226,226.0,1.181354472085361,1.9585564445004409,248721.0,2019
V,2010-01-04,2026-07-29,0,346,226.0,8.622181361225582,7.467768425374667,945763.0,2010
WH,2010-01-04,2026-01-16,194,226,226.0,0.0,0.0,0.0,2010
WR,2018-10-22,2026-07-29,0,226,226.0,0.022222222222222223,0.2564102564102564,10.0,2018
Y,2010-01-04,2026-07-29,0,346,346.0,0.8456814719324974,1.0369687747797947,387088.0,2010
ZC,2013-10-09,2026-01-16,194,346,346.0,0.0,0.0,0.0,2013
ZN,2010-01-04,2026-07-29,0,466,466.0,0.7107246651717667,1.1446156860184158,105165.0,2010
