方向,入场下标,入场时间,入场价,出场下标,出场时间,出场价,理由,仓位比例,跳空成交,固定止损位,交易日,时段号,成本基点,毛收益,净收益,持有根数
多,5951,2026-02-02 21:30:00,1060.7580954311554,6082,2026-02-06 02:30:00,1062.8003751377455,TRAIL,1.0,False,1025.0323732216664,2026-02-06,329,0.0,0.0019253020225690337,0.0019253020225690337,131
空,6137,2026-02-09 21:45:00,1109.8663479178674,6145,2026-02-09 23:45:00,1119.5243042402542,SL,1.0,False,1119.5243042402542,2026-02-10,333,0.0,-0.008701909324942872,-0.008701909324942872,8
空,6155,2026-02-10 02:15:00,1116.8903161523303,6178,2026-02-10 22:45:00,1123.5245363511845,TRAIL,1.0,False,1123.669806073548,2026-02-11,335,0.0,-0.005939903053066924,-0.005939903053066924,23
空,6227,2026-02-24 22:00:00,1135.77963185631,6246,2026-02-25 09:15:00,1141.6116797346021,TRAIL,1.0,False,1143.9834736894798,2026-02-25,339,0.0,-0.005134841050776928,-0.005134841050776928,19
多,6309,2026-02-27 00:00:00,1136.0970993471335,6376,2026-03-02 22:15:00,1185.9834306394787,TRAIL,1.0,False,1130.9800619559855,2026-03-03,346,0.0,0.04391027080432889,0.04391027080432889,67
多,6432,2026-03-04 09:30:00,1144.1528369267717,6491,2026-03-05 23:15:00,1125.755312380451,SL,1.0,False,1125.755312380451,2026-03-06,352,0.0,-0.016079604011415997,-0.016079604011415997,59
多,6508,2026-03-06 10:00:00,1134.5097618930172,6520,2026-03-06 21:15:00,1124.1523850049107,SL,1.0,False,1124.1523850049107,2026-03-09,354,0.0,-0.009129385427961781,-0.009129385427961781,12
多,6528,2026-03-06 23:15:00,1136.9899766650735,6542,2026-03-09 09:15:00,1122.9618819143238,SL,1.0,True,1128.2950523070367,2026-03-09,355,0.0,-0.012337922970874162,-0.012337922970874162,14
空,6617,2026-03-11 09:30:00,1147.9426050984735,6818,2026-03-18 21:45:00,1078.8025150374035,TRAIL,1.0,False,1154.1587319500381,2026-03-19,370,0.0,0.06022957049768087,0.06022957049768087,201
空,6983,2026-03-25 02:00:00,966.239183724337,6985,2026-03-25 02:30:00,976.8700217321425,SL,1.0,False,976.8700217321425,2026-03-25,378,0.0,-0.011002284099915445,-0.011002284099915445,2
空,7005,2026-03-25 22:15:00,1005.2669624924929,7082,2026-03-27 23:00:00,991.8696198569252,TRAIL,1.0,False,1017.5085335317842,2026-03-30,384,0.0,0.013327149041434627,0.013327149041434627,77
空,7095,2026-03-28 02:15:00,993.0027846738124,7105,2026-03-30 11:30:00,1001.0239525858686,TRAIL,1.0,False,1003.1652384711465,2026-03-30,385,0.0,-0.00807768924302778,-0.00807768924302778,10
空,7129,2026-03-31 01:30:00,1002.1811371058571,7135,2026-03-31 09:30:00,1010.8261108366863,SL,1.0,False,1010.8261108366863,2026-03-31,387,0.0,-0.008626158895581007,-0.008626158895581007,6
空,7148,2026-03-31 15:00:00,1009.5594247290312,7152,2026-03-31 22:00:00,1017.6533582122469,SL,1.0,False,1017.6533582122469,2026-04-01,388,0.0,-0.008017292776389167,-0.008017292776389167,4
空,7209,2026-04-02 09:30:00,1045.1057594712393,7211,2026-04-02 10:00:00,1037.5536822315103,TRAIL,1.0,False,1052.0509859767374,2026-04-02,391,0.0,0.007226136849106913,0.007226136849106913,2
多,7229,2026-04-02 22:45:00,1028.3513100963644,7279,2026-04-07 22:15:00,1013.8356383428835,SL,1.0,False,1013.8356383428835,2026-04-08,395,0.0,-0.014115479419305313,-0.014115479419305313,50
多,7285,2026-04-07 23:45:00,1022.3181258468521,7314,2026-04-08 21:45:00,1041.741588113373,TRAIL,1.0,False,1014.592965452424,2026-04-09,397,0.0,0.018999430583734482,0.018999430583734482,29
多,7350,2026-04-09 21:30:00,1039.5670985208671,7376,2026-04-10 10:45:00,1035.8129602185359,TRAIL,1.0,False,1033.7832953064928,2026-04-10,400,0.0,-0.0036112515562225908,-0.0036112515562225908,26
多,7424,2026-04-13 21:30:00,1033.5536952033206,7431,2026-04-13 23:15:00,1028.2721863685017,SL,1.0,False,1028.2721863685017,2026-04-14,403,0.0,-0.005110047846889922,-0.005110047846889922,7
多,7437,2026-04-14 00:45:00,1032.9998291082836,7487,2026-04-15 10:45:00,1049.9026354729006,TRAIL,1.0,False,1028.3562553293557,2026-04-15,406,0.0,0.01636283558653436,0.01636283558653436,50
多,7520,2026-04-16 09:30:00,1050.7631060134047,7537,2026-04-16 22:00:00,1045.8800416653216,SL,1.0,False,1045.8800416653216,2026-04-17,409,0.0,-0.004647160068846916,-0.004647160068846916,17
多,7562,2026-04-17 11:00:00,1043.681532369715,7593,2026-04-20 09:15:00,1038.4989281947242,TRAIL,1.0,True,1038.3533970524056,2026-04-20,412,0.0,-0.0049656950077706635,-0.0049656950077706635,31
多,7609,2026-04-20 21:30:00,1047.1234145317317,7639,2026-04-21 13:45:00,1041.1891349420475,SL,1.0,True,1042.2806185094357,2026-04-21,414,0.0,-0.00566722079492217,-0.00566722079492217,30
多,7668,2026-04-22 09:30:00,1034.2460278221172,7709,2026-04-23 10:45:00,1027.5593663558839,SL,1.0,False,1027.5593663558839,2026-04-23,418,0.0,-0.006465252257544444,-0.006465252257544444,41
空,7779,2026-04-27 09:30:00,1024.6522758187946,7784,2026-04-27 11:00:00,1029.0330457873222,SL,1.0,False,1029.0330457873222,2026-04-27,422,0.0,-0.004275372311086657,-0.004275372311086657,5
空,7935,2026-05-07 01:15:00,1020.5378419699467,7941,2026-05-07 09:15:00,1024.7850906477065,SL,1.0,False,1024.7850906477065,2026-05-07,431,0.0,-0.0041617748045102475,-0.0041617748045102475,6
空,7952,2026-05-07 14:15:00,1022.41703050668,7954,2026-05-07 14:45:00,1025.9013003800517,SL,1.0,False,1025.9013003800517,2026-05-07,431,0.0,-0.0034078754259844013,-0.0034078754259844013,2
空,8244,2026-05-19 11:15:00,988.0575516824089,8255,2026-05-19 22:00:00,981.0169528263622,TRAIL,1.0,False,992.8749150778917,2026-05-20,448,0.0,0.007125697125697146,0.007125697125697146,11
空,8317,2026-05-21 11:00:00,984.8602101490364,8344,2026-05-22 01:45:00,986.1917421000251,TRAIL,1.0,False,990.4674391426443,2026-05-22,452,0.0,-0.0013520009614228622,-0.0013520009614228622,27
空,8419,2026-05-26 02:00:00,989.1605651907479,8458,2026-05-27 02:30:00,975.794520654157,TRAIL,1.0,False,991.2952433978885,2026-05-27,458,0.0,0.013512512535326711,0.013512512535326711,39
空,8540,2026-05-29 11:15:00,971.4265322435064,8550,2026-05-29 21:45:00,977.0802591782598,SL,1.0,False,977.0802591782598,2026-06-01,464,0.0,-0.0058200252382402595,-0.0058200252382402595,10
空,8571,2026-06-01 09:30:00,977.7587064104304,8616,2026-06-02 13:45:00,973.0046441854189,TRAIL,1.0,True,983.2053061528078,2026-06-02,467,0.0,0.00486220393011348,0.00486220393011348,45
空,8628,2026-06-02 22:45:00,968.9804587335419,8659,2026-06-04 21:15:00,971.7027018333409,TRAIL,1.0,True,974.0128040911674,2026-06-05,470,0.0,-0.0028093890596689527,-0.0028093890596689527,31
空,8756,2026-06-09 09:30:00,934.4592600042063,8773,2026-06-09 22:00:00,939.9861743721989,SL,1.0,False,939.9861743721989,2026-06-10,476,0.0,-0.005914558937505461,-0.005914558937505461,17
空,8885,2026-06-12 22:15:00,900.056419670514,8890,2026-06-12 23:30:00,908.721945065837,SL,1.0,False,908.721945065837,2026-06-15,482,0.0,-0.009627758000432049,-0.009627758000432049,5
空,8933,2026-06-16 01:00:00,932.032912893516,8997,2026-06-17 22:30:00,936.0514622313145,TRAIL,1.0,False,937.1688218473295,2026-06-18,488,0.0,-0.004311595955686621,-0.004311595955686621,64
空,9013,2026-06-18 02:30:00,921.282025289237,9013,2026-06-18 02:30:00,925.3358003400248,SL,1.0,False,925.3358003400248,2026-06-18,488,0.0,-0.004400145600925042,-0.004400145600925042,0
空,9178,2026-06-26 09:30:00,868.8098032206468,9192,2026-06-26 21:15:00,875.9704861570747,TRAIL,1.0,True,875.3596722938435,2026-06-29,499,0.0,-0.008241945371568629,-0.008241945371568629,14
空,9212,2026-06-27 02:15:00,880.5864635871687,9263,2026-06-30 14:30:00,862.9651529214923,TRAIL,1.0,False,886.1070373268233,2026-06-30,502,0.0,0.020010880696364603,0.020010880696364603,51
空,9283,2026-07-01 01:30:00,868.139105645334,9303,2026-07-01 21:15:00,868.9478880155642,TRAIL,1.0,True,874.2218817642948,2026-07-02,505,0.0,-0.0009316276216229449,-0.0009316276216229449,20
空,9323,2026-07-02 02:15:00,877.6866828939045,9340,2026-07-02 21:15:00,887.6879673257749,TRAIL,1.0,True,884.278822822688,2026-07-03,507,0.0,-0.011395050906884268,-0.011395050906884268,17
空,9358,2026-07-03 01:45:00,886.4649305707927,9361,2026-07-03 02:30:00,892.3342388690396,SL,1.0,False,892.3342388690396,2026-07-03,507,0.0,-0.00662102706586222,-0.00662102706586222,3
空,9380,2026-07-03 22:00:00,897.4328085670846,9399,2026-07-06 09:15:00,902.7652769993773,SL,1.0,False,902.7652769993773,2026-07-06,510,0.0,-0.005941913847351905,-0.005941913847351905,19
空,9405,2026-07-06 11:00:00,899.5829860879402,9433,2026-07-07 02:00:00,897.2876786295695,TRAIL,1.0,False,902.6666450030076,2026-07-07,511,0.0,0.002551523865910757,0.002551523865910757,28
多,9452,2026-07-07 21:30:00,899.0306469082709,9455,2026-07-07 22:15:00,895.4820085817472,SL,1.0,False,895.4820085817472,2026-07-08,513,0.0,-0.003947182822662743,-0.003947182822662743,3
多,9482,2026-07-08 13:45:00,889.7986920480829,9519,2026-07-10 13:45:00,885.6202179733137,SL,1.0,False,885.6202179733137,2026-07-10,516,0.0,-0.004695976867701846,-0.004695976867701846,37
多,9537,2026-07-11 00:15:00,885.5969690027409,9547,2026-07-13 09:15:00,878.8110876525172,SL,1.0,True,881.0338301421306,2026-07-13,518,0.0,-0.007662493874459825,-0.007662493874459825,10
空,9623,2026-07-15 09:45:00,872.2027438957585,9636,2026-07-15 21:15:00,875.6548637686922,TRAIL,1.0,True,876.7891317269417,2026-07-16,523,0.0,-0.003957932828225776,-0.003957932828225776,13
空,9733,2026-07-20 09:30:00,863.7598450065268,9774,2026-07-21 10:45:00,868.912662302575,SL,1.0,False,868.912662302575,2026-07-21,530,0.0,-0.005965567079596336,-0.005965567079596336,41
空,9840,2026-07-23 02:00:00,893.2840576904807,9898,2026-07-24 22:00:00,875.0786623991572,TRAIL,1.0,False,897.5290792384191,2026-07-27,537,0.0,0.020380297996577024,0.020380297996577024,58
多,9979,2026-07-28 23:45:00,868.5755310771253,9991,2026-07-29 09:15:00,864.7351987730818,SL,1.0,False,864.7351987730818,2026-07-29,542,0.0,-0.004421414334895069,-0.004421414334895069,12
