clearing_day,market,product,contract,bars,sum_vol,min_bt,max_bt,n_ohlc_nonpos,n_vol0_val,n_val0_vol,trading_day,pkl_bars,pkl_vol,_merge,d_bars
20230103,XDCE,I,I2305,346.0,523307.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,523307.0,both,346.0
20230103,XDCE,J,J2305,346.0,31800.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,31800.0,both,346.0
20230103,XDCE,JM,JM2305,346.0,51985.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,51985.0,both,346.0
20230103,XDCE,L,L2305,346.0,263838.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,263838.0,both,346.0
20230103,XSIE,LU,LU2303,346.0,74020.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,74020.0,both,346.0
20230103,XDCE,M,M2305,346.0,504292.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,504292.0,both,346.0
20230103,XZCE,MA,MA2305,346.0,1093304.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,1093304.0,both,346.0
20230103,XSGE,NI,NI2302,466.0,96517.0,00:00,23:59,0.0,0.0,0.0,20230103,932.0,96517.0,both,466.0
20230103,XSIE,NR,NR2303,346.0,28701.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,28701.0,both,346.0
20230103,XZCE,OI,OI2305,346.0,269491.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,269491.0,both,346.0
20230103,XDCE,P,P2305,346.0,539614.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,539614.0,both,346.0
20230103,XSGE,PB,PB2302,466.0,48034.0,00:00,23:59,0.0,0.0,0.0,20230103,932.0,48034.0,both,466.0
20230103,XZCE,PF,PF2302,346.0,219611.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,219611.0,both,346.0
20230103,XDCE,PG,PG2302,346.0,88168.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,88168.0,both,346.0
20230103,XDCE,PP,PP2305,346.0,365267.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,365267.0,both,346.0
20230103,XSGE,RB,RB2305,346.0,1245821.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,1245821.0,both,346.0
20230103,XZCE,RM,RM2305,346.0,393839.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,393839.0,both,346.0
20230103,XDCE,RR,RR2302,346.0,2147.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,2147.0,both,346.0
20230103,XSGE,RU,RU2305,346.0,409956.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,409956.0,both,346.0
20230103,XZCE,SA,SA2305,346.0,1278023.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,1278023.0,both,346.0
20230103,XSIE,SC,SC2302,556.0,29554.0,00:00,23:59,0.0,0.0,0.0,20230103,1112.0,29554.0,both,556.0
20230103,XSGE,SN,SN2302,466.0,54342.0,00:00,23:59,0.0,0.0,0.0,20230103,932.0,54342.0,both,466.0
20230103,XSGE,SP,SP2305,346.0,135988.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,135988.0,both,346.0
20230103,XZCE,SR,SR2303,346.0,176651.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,176651.0,both,346.0
20230103,XSGE,SS,SS2302,466.0,97202.0,00:00,23:59,0.0,0.0,0.0,20230103,932.0,97202.0,both,466.0
20230103,XZCE,TA,TA2305,346.0,1274963.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,1274963.0,both,346.0
20230103,XDCE,V,V2305,346.0,876467.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,876467.0,both,346.0
20230103,XDCE,Y,Y2305,346.0,419597.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,419597.0,both,346.0
20230103,XZCE,ZC,ZC2302,346.0,0.0,09:01,23:00,0.0,0.0,0.0,20230103,692.0,0.0,both,346.0
20230103,XSGE,ZN,ZN2302,466.0,99612.0,00:00,23:59,0.0,0.0,0.0,20230103,932.0,99612.0,both,466.0
