clearing_day,market,product,contract,tdate,bartime,mask,open,high,low,close,volume,value,vwap,market_cn,year
20201030,XDCE,I,I2107,20201029,22:50,5,0,709.5,0,709.5,1,70950,709.5,大商所,2020
20201030,XDCE,PP,PP2103,20201029,21:01,5,0,7612.0,0,7612.0,4,152890,7644.5,大商所,2020
20201030,XDCE,Y,Y2108,20201029,21:01,5,0,6680.0,0,6668.0,10,670860,6708.6,大商所,2020
20201102,XDCE,EG,EG2103,20201030,21:01,5,0,3769.0,0,3769.0,6,226440,3774.0,大商所,2020
20201102,XDCE,EG,EG2104,20201030,21:04,5,0,3829.0,0,3829.0,7,271980,3885.43,大商所,2020
20201102,XDCE,I,I2107,20201102,09:05,5,0,711.5,0,711.5,1,71150,711.5,大商所,2020
20201102,XDCE,M,M2108,20201030,21:01,5,0,3055.0,0,3054.0,22,671050,3050.23,大商所,2020
20201102,XDCE,P,P2104,20201030,21:10,5,0,6006.0,0,6006.0,2,120120,6006.0,大商所,2020
20201102,XDCE,PG,PG2011,20201030,21:02,5,0,3880.0,0,3880.0,1,77600,3880.0,大商所,2020
20201102,XDCE,V,V2104,20201030,21:04,5,0,6680.0,0,6670.0,3,100150,6676.67,大商所,2020
20201102,XDCE,Y,Y2108,20201030,21:30,5,0,6674.0,0,6670.0,38,2534720,6670.32,大商所,2020
20201103,XDCE,EB,EB2103,20201102,21:01,5,0,6452.0,0,6446.0,34,1098155,6459.73,大商所,2020
20201103,XDCE,I,I2104,20201102,21:02,5,0,755.5,0,755.5,4,302200,755.5,大商所,2020
20201103,XDCE,J,J2103,20201102,21:01,5,0,2130.5,0,2130.5,5,1065800,2131.6,大商所,2020
20201103,XDCE,L,L2103,20201102,21:02,5,0,7360.0,0,7360.0,1,36800,7360.0,大商所,2020
20201103,XDCE,P,P2104,20201102,21:12,5,0,5886.0,0,5884.0,15,882780,5885.2,大商所,2020
20201103,XDCE,PP,PP2103,20201102,21:02,5,0,7926.0,0,7926.0,4,158530,7926.5,大商所,2020
20201103,XDCE,V,V2103,20201102,21:04,5,0,6830.0,0,6825.0,7,239025,6829.29,大商所,2020
20201103,XDCE,Y,Y2108,20201102,21:02,5,0,6640.0,0,6640.0,3,199160,6638.67,大商所,2020
20201104,XDCE,EG,EG2102,20201103,21:01,5,0,3893.0,0,3862.0,227,8765360,3861.39,大商所,2020
20201104,XDCE,EG,EG2103,20201103,21:01,5,0,3918.0,0,3886.0,35,1361870,3891.06,大商所,2020
20201104,XDCE,I,I2107,20201103,21:32,5,0,712.0,0,712.0,1,71200,712.0,大商所,2020
20201104,XDCE,M,M2108,20201103,21:01,5,0,3090.0,0,3088.0,36,1112060,3089.06,大商所,2020
20201104,XDCE,P,P2103,20201103,21:01,5,0,6208.0,0,6208.0,8,496360,6204.5,大商所,2020
20201104,XDCE,P,P2107,20201104,13:47,5,0,5856.0,0,5856.0,161,9428160,5856.0,大商所,2020
20201104,XDCE,Y,Y2108,20201103,21:07,5,0,6748.0,0,6748.0,10,674800,6748.0,大商所,2020
20201105,XDCE,EB,EB2103,20201104,21:01,5,0,6821.0,0,6821.0,4,136460,6823.0,大商所,2020
20201105,XDCE,EB,EB2105,20201104,21:01,5,0,6629.0,0,6629.0,31,1025425,6615.65,大商所,2020
20201105,XDCE,EG,EG2102,20201104,21:01,5,0,3882.0,0,3882.0,154,5971960,3877.9,大商所,2020
20201105,XDCE,EG,EG2104,20201104,21:04,5,0,3950.0,0,3947.0,318,12553760,3947.72,大商所,2020
20201105,XDCE,I,I2107,20201105,10:05,5,0,693.5,0,693.5,3,208050,693.5,大商所,2020
20201105,XDCE,M,M2108,20201104,21:10,5,0,3094.0,0,3094.0,30,928200,3094.0,大商所,2020
20201105,XDCE,V,V2012,20201105,09:24,5,0,7155.0,0,7155.0,1,35775,7155.0,大商所,2020
20201105,XDCE,V,V2104,20201104,21:03,5,0,6800.0,0,6800.0,2,68000,6800.0,大商所,2020
20201105,XDCE,Y,Y2108,20201104,21:03,5,0,6776.0,0,6776.0,3,203040,6768.0,大商所,2020
20201106,XDCE,B,B2103,20201105,21:01,5,0,3855.0,0,3855.0,6,231390,3856.5,大商所,2020
20201106,XDCE,J,J2103,20201105,21:03,5,0,2186.5,0,2182.5,5,1092550,2185.1,大商所,2020
20201106,XDCE,JM,JM2103,20201105,21:02,5,0,1271.5,0,1269.5,24,1829820,1270.71,大商所,2020
20201106,XDCE,JM,JM2104,20201105,21:03,5,0,1276.5,0,1276.5,13,996480,1277.54,大商所,2020
20201106,XDCE,L,L2103,20201105,21:03,5,0,7360.0,0,7360.0,4,147150,7357.5,大商所,2020
20201106,XDCE,PP,PP2103,20201105,21:06,5,0,7782.0,0,7770.0,3,116645,7776.33,大商所,2020
20201106,XDCE,V,V2103,20201105,21:08,5,0,6855.0,0,6855.0,10,342300,6846.0,大商所,2020
20201106,XDCE,Y,Y2108,20201105,21:13,5,0,6828.0,0,6828.0,2,136560,6828.0,大商所,2020
20201109,XDCE,I,I2107,20201106,22:01,5,0,709.0,0,709.0,3,212700,709.0,大商所,2020
20201109,XDCE,J,J2104,20201106,21:09,5,0,2210.0,0,2210.0,1,221000,2210.0,大商所,2020
20201109,XDCE,L,L2102,20201106,21:01,5,0,7395.0,0,7395.0,120,4432550,7387.58,大商所,2020
20201109,XDCE,L,L2103,20201106,21:01,5,0,7375.0,0,7360.0,29,1065675,7349.48,大商所,2020
20201109,XDCE,M,M2108,20201106,21:11,5,0,3145.0,0,3145.0,22,691900,3145.0,大商所,2020
20201109,XDCE,P,P2103,20201106,21:01,5,0,6310.0,0,6310.0,11,699700,6360.91,大商所,2020
20201109,XDCE,Y,Y2108,20201106,21:01,5,0,6822.0,0,6822.0,3,205140,6838.0,大商所,2020
20201110,XDCE,EB,EB2104,20201109,21:06,5,0,6904.0,0,6882.0,21,724625,6901.19,大商所,2020
