clearing_day,market,market_cn,product,contract,pre_bt,pre_vol,pre_close,pad_bt,pad_close,day0_bt,day0_open,day0_vol,dev_to_day_open,dev_to_padding,closer_to
20230406,XSGE,上期所,CU,CU2305,01:00,416,68500.0,00:59,69080.0,09:01,68520.0,4534,0.0002918855808523059,0.008396062536189925,当日日盘开盘价
20230406,XSGE,上期所,CU,CU2306,01:00,352,68450.0,00:59,68930.0,09:01,68500.0,2069,0.00072992700729927,0.006963586246917162,当日日盘开盘价
20230406,XSGE,上期所,CU,CU2307,01:00,261,68190.0,00:59,68730.0,09:01,68200.0,278,0.0001466275659824047,0.00785683107813182,当日日盘开盘价
20230406,XSGE,上期所,CU,CU2308,01:00,103,68110.0,00:59,68570.0,09:01,68370.0,324,0.003802837501828287,0.006708473093189442,当日日盘开盘价
20230406,XSGE,上期所,CU,CU2310,01:00,1,68120.0,00:59,68430.0,09:01,68120.0,2,0.0,0.004530176823030835,当日日盘开盘价
20230406,XSGE,上期所,CU,CU2311,01:00,1,68200.0,00:59,68420.0,09:01,68100.0,13,0.0014684287812041115,0.003215434083601286,当日日盘开盘价
20230406,XSGE,上期所,CU,CU2402,01:00,1,68000.0,00:59,68100.0,09:01,68000.0,1,0.0,0.0014684287812041115,当日日盘开盘价
20230406,XSGE,上期所,NI,NI2305,01:00,1354,174200.0,00:59,176860.0,09:01,174300.0,3106,0.0005737234652897303,0.015040144747257718,当日日盘开盘价
20230406,XSGE,上期所,NI,NI2306,01:00,1240,171300.0,00:59,172950.0,09:01,171300.0,1171,0.0,0.009540329575021683,当日日盘开盘价
20230406,XSGE,上期所,NI,NI2307,01:00,325,167990.0,00:59,169930.0,09:01,167990.0,229,0.0,0.011416465603483788,当日日盘开盘价
20230406,XSGE,上期所,NI,NI2401,01:00,1,163960.0,00:59,164510.0,09:01,163960.0,4,0.0,0.0033432618077928393,当日日盘开盘价
20230406,XSGE,上期所,PB,PB2305,01:00,468,15190.0,00:59,15205.0,09:01,15195.0,1945,0.0003290556103981573,0.0009865175928970734,当日日盘开盘价
20230406,XSGE,上期所,PB,PB2306,01:00,23,15220.0,00:59,15205.0,09:01,15220.0,425,0.0,0.0009865175928970734,当日日盘开盘价
20230406,XSGE,上期所,PB,PB2307,01:00,100,15195.0,00:59,15195.0,09:01,15195.0,11,0.0,0.0,padding价(前收盘)
20230406,XSGE,上期所,SN,SN2304,01:00,20,198000.0,00:59,203720.0,09:01,198290.0,28,0.0014625044127288315,0.028077753779697623,当日日盘开盘价
20230406,XSGE,上期所,SN,SN2305,01:00,245,199000.0,00:59,203880.0,09:01,199200.0,4167,0.001004016064257028,0.023935648420639593,当日日盘开盘价
20230406,XSGE,上期所,SN,SN2306,01:00,48,200000.0,00:59,203680.0,09:01,199300.0,1319,0.0035122930255895636,0.018067556952081697,当日日盘开盘价
20230406,XSGE,上期所,SN,SN2307,01:00,51,199050.0,00:59,203490.0,09:01,199000.0,242,0.0002512562814070352,0.02181925401739643,当日日盘开盘价
20230406,XSGE,上期所,SN,SN2309,01:00,2,199170.0,00:59,202360.0,09:01,199020.0,17,0.0007536930961712391,0.015763984977268233,当日日盘开盘价
20230406,XSGE,上期所,SS,SS2305,01:00,188,14500.0,00:59,14580.0,09:01,14515.0,3003,0.0010334137099552187,0.0054869684499314125,当日日盘开盘价
20230406,XSGE,上期所,SS,SS2306,01:00,19,14365.0,00:59,14450.0,09:01,14350.0,676,0.0010452961672473868,0.0058823529411764705,当日日盘开盘价
20230406,XSGE,上期所,SS,SS2307,01:00,5,14300.0,00:59,14315.0,09:01,14270.0,165,0.002102312543798178,0.001047851903597625,padding价(前收盘)
20230406,XSGE,上期所,SS,SS2308,01:00,2,14250.0,00:59,14215.0,09:01,14250.0,36,0.0,0.0024621878297572987,当日日盘开盘价
20230406,XSGE,上期所,SS,SS2309,01:00,4,14120.0,00:59,14130.0,09:01,14120.0,55,0.0,0.0007077140835102619,当日日盘开盘价
20230406,XSGE,上期所,ZN,ZN2305,01:00,294,22130.0,00:59,22450.0,09:01,22175.0,4691,0.002029312288613303,0.014253897550111359,当日日盘开盘价
20230406,XSGE,上期所,ZN,ZN2306,01:00,302,22105.0,00:59,22335.0,09:01,22090.0,1199,0.000679040289723857,0.01029773897470338,当日日盘开盘价
20230406,XSGE,上期所,ZN,ZN2307,01:00,1,21930.0,00:59,22185.0,09:01,21930.0,207,0.0,0.011494252873563218,当日日盘开盘价
20230406,XSGE,上期所,ZN,ZN2308,01:00,5,21895.0,00:59,22060.0,09:01,21895.0,29,0.0,0.007479601087941976,当日日盘开盘价
20230406,XSGE,上期所,ZN,ZN2309,01:00,350,21895.0,00:59,21945.0,09:01,21895.0,7,0.0,0.00227842333105491,当日日盘开盘价
20230406,XSIE,能源中心,BC,BC2306,01:00,8,60900.0,00:59,61370.0,09:01,60900.0,253,0.0,0.007658465048069089,当日日盘开盘价
20230406,XSIE,能源中心,BC,BC2307,01:00,23,60830.0,00:59,61310.0,09:01,60830.0,84,0.0,0.00782906540531724,当日日盘开盘价
20230406,XSIE,能源中心,SC,SC2305,02:30,35,580.0,02:29,583.4,09:01,580.9,1397,0.0015493200206575612,0.005827905382241991,当日日盘开盘价
20230406,XSIE,能源中心,SC,SC2306,02:30,110,581.0,02:29,582.5,09:01,579.5,526,0.0025884383088869713,0.002575107296137339,padding价(前收盘)
